"ISARIC_4C_Mortality","ISARIC_4C_Deterioration","ISARIC_4C_Mortality_Prob"
9,80.4554406137939,19.1646191646192
4,24.6711713191167,4.80519480519481
10,63.4078729716334,22.8999464954521
11,42.2052256298115,26.9156159068865
7,51.4075208251569,11.6953762466002
14,57.9054233969859,44.5749440715884
9,55.5124600267338,19.1646191646192
11,70.0923091787094,26.9156159068865
4,64.4961649528261,4.80519480519481
7,63.266005193916,11.6953762466002
9,59.9894880396502,19.1646191646192
12,56.025599958545,32.9079307201458
16,82.9389850980785,59.1031390134529
15,85.7234349704746,51.6393442622951
17,79.3897561884212,66.1224489795918
11,50.683477100524,26.9156159068865
9,59.2598257401884,19.1646191646192
2,37.7714987967107,0.806451612903226
8,71.95100469119,14.4486692015209
9,25.6425755451561,19.1646191646192
11,65.9710233935721,26.9156159068865
5,31.2104000003395,7.47422680412371
8,34.9299995698842,14.4486692015209
11,26.3215128324459,26.9156159068865
6,56.2393979407729,7.78378378378378
14,56.6729787062735,44.5749440715884
12,37.3000494784967,32.9079307201458
14,44.4990435629894,44.5749440715884
8,37.1100676915533,14.4486692015209
14,71.3431055288123,44.5749440715884
12,71.4543747076218,32.9079307201458
16,63.1491763211052,59.1031390134529
6,69.3181548752212,7.78378378378378
12,83.3472693767449,32.9079307201458
12,91.726261899209,32.9079307201458
12,85.0169583019654,32.9079307201458
4,21.2254859585018,4.80519480519481
11,53.5287321605725,26.9156159068865
8,62.7651349116508,14.4486692015209
11,57.3657604591526,26.9156159068865
12,90.6756827275137,32.9079307201458
9,36.7145455177711,19.1646191646192
6,24.986896618404,7.78378378378378
5,42.519256911,7.47422680412371
15,57.8947120257355,51.6393442622951
11,41.7604631167501,26.9156159068865
16,75.5861663320062,59.1031390134529
8,29.5669797258615,14.4486692015209
11,36.1122509439772,26.9156159068865
14,69.033548167806,44.5749440715884
14,82.4978957939673,44.5749440715884
7,12.9698920962169,11.6953762466002
13,47.2573233186594,40.1318888365521
10,39.2226368292331,22.8999464954521
9,21.7942849241298,19.1646191646192
8,26.4689715928406,14.4486692015209
3,31.778216972722,2.31124807395994
5,21.8925135067006,7.47422680412371
5,19.4923359922049,7.47422680412371
6,22.9573083178233,7.78378378378378
12,60.1737986489127,32.9079307201458
11,55.8761160942937,26.9156159068865
13,46.499870055419,40.1318888365521
12,30.8154215187153,32.9079307201458
11,62.5356270943982,26.9156159068865
11,50.9011689858694,26.9156159068865
10,34.7808591259451,22.8999464954521
3,37.6307646683273,2.31124807395994
6,28.3441977054855,7.78378378378378
10,77.8106797068549,22.8999464954521
7,31.5202761234375,11.6953762466002
8,67.2468742507605,14.4486692015209
3,23.8097008045131,2.31124807395994
11,54.7397044364487,26.9156159068865
8,41.0045507473557,14.4486692015209
2,29.6182059762088,0.806451612903226
7,87.6636194669132,11.6953762466002
5,50.2944060824225,7.47422680412371
9,64.3171129648026,19.1646191646192
8,60.1677831829879,14.4486692015209
6,60.7279703965696,7.78378378378378
11,59.8613400949175,26.9156159068865
3,25.6095384214083,2.31124807395994
15,80.4790421917032,51.6393442622951
10,47.4186922680677,22.8999464954521
7,82.6181945099342,11.6953762466002
8,47.4828048794251,14.4486692015209
5,72.1351068489804,7.47422680412371
10,27.7867372753363,22.8999464954521
1,10.3355240071103,0.297619047619048
6,36.5999217174271,7.78378378378378
4,41.9572897231014,4.80519480519481
13,75.1837884549209,40.1318888365521
9,42.1502612440747,19.1646191646192
10,47.7468223084862,22.8999464954521
11,33.8037469675621,26.9156159068865
12,55.8882609087246,32.9079307201458
12,68.8051381124127,32.9079307201458
5,41.5792005516793,7.47422680412371
6,31.5379527775382,7.78378378378378
1,6.05178605471695,0.297619047619048
11,42.3635139898441,26.9156159068865
